Let's try something.	Mari kita coba sesuatu.
No one knows what'll happen in the future.	Tidak seorang pun akan tahu apa yang akan terjadi di masa depan.
Please feel free to eat anything in the fridge.	Silahkan nikmati segala macam makanan yang ada di dalam lemari es.
No matter where you go in Holland, you'll see windmills.	Ke mana pun kau pergi di Belanda, kau akan melihat kincir angin.
You'd better do what I suggest.	Sebaiknya kamu lakukan sesuai saran saya.
The boy knocked the glass over.	Anak laki-laki itu menjatuhkan gelasnya.
Are you saying that for real?	Apa kau serius mengatakannya?
I don't know what I'll do.	Aku tidak tahu apa yang akan kulakukan.
In my city, there is no school for learning Esperanto.	Di kota saya tidak ada sekolah untuk belajar bahasa Esperanto.
I am disappointed.	Aku kecewa.
Say goodbye to your friends.	Pamitlah pada teman-temanmu.
I'll phone you every night.	Saya akan menelpon anda setiap malam.
I'm sleepy.	Aku ngantuk.
I think they're using you.	Aku pikir mereka memperalat kamu.
It's important to read books.	Sangat penting untuk membaca buku.
Cut the cloth diagonally.	Potong kainnya secara diagonal.
That's the right answer.	Itulah jawaban yang benar.
Once a month, I go to the hairdresser.	Satu kali dalam satu bulan, aku pergi ke salon.
He's the head of the marketing department.	Dia kepala dari departemen pemasaran.
He's the manager of the marketing department.	Dia manajer dari departemen pemasaran.
She's still a minor.	Dia masih di bawah umur.
She's still under age.	Dia masih di bawah umur.
Bullshit.	Tai kerbau.
Something happened.	Sesuatu telah terjadi.
You're a criminal.	Kau penjahat.
You are a criminal.	Kamu adalah seorang penjahat.
She is my favorite character.	Dia adalah tokoh kesukaanku.
It kept raining all day long.	Hujan terus turun hingga sehari penuh.
There were no radios in those days.	Tidak ada radio pada saat itu.
We have had a lot of rain this summer.	Kita dapat banyak hujan musim panas ini.
There's been a lot of rain this summer.	Musim panas ini banyak turun hujan.
I never expected to see you here.	Aku tidak menyangka akan bertemu denganmu di sini.
That's odd.	Itu aneh.
Roger that.	Dimengerti.
Languages are subject to constant change.	Bahasa adalah subjek dari perubahan yang konstan.
He is still not back from the mountains.	Dia belum kembali dari gunung.
Why are you still here?	Kenapa kamu masih di sini?
I eat dinner at quarter past seven.	Saya makan malam pada pukul tujuh lewat lima belas menit.
You're taller than I am.	Kau lebih tinggi ketimbang aku.
Should I go with you?	Apa perlu aku temani?
I should ask, shouldn't I?	Aku harus bertanya, bukan?
I make it a rule not to stay up late.	Aku membiasakan diri untuk tidak begadang.
The musician has many friends.	Musisi memiliki banyak teman.
Let's do this again.	Mari kita melakukannya lagi.
Do you want to use mine?	Apa kamu mau pinjam punyaku?
I have to go to the bathroom.	Saya harus pergi ke kamar mandi.
My younger brother is taller than me.	Adik laki-lakiku lebih tinggi dariku.
My younger brother is taller than I am.	Adik laki-lakiku lebih tinggi dariku.
According to the UN, the world population exceeded 7 billion in October of the year 2011.	Menurut PBB, populasi dunia melebihi 7 milyar pada Oktober tahun 2011.
I am afraid of cats.	Aku takut kucing.
You don't have to answer those questions.	Kamu tidak perlu menjawab pertanyaan-pertanyaan itu.
She is Russian.	Dia orang Rusia.
Dry the pants on the radiator.	Keringkan celananya di atas radiator.
Mario is so sick that he can barely move.	Mario sakit parah sampai-sampai dia kesulitan untuk bergerak.
I'm very pleased with Tom's performance.	Saya sangat puas dengan penampilan Tom.
Can you speak Indonesian?	Apakah kamu bisa berbicara dalam bahasa Indonesia?
Can anyone drive?	Apakah ada orang yang bisa mengemudi?
I studied really hard in order to pass the exam.	Aku belajar dengan keras untuk lulus ujian.
Mr. Soarez has been my close friend for years.	Tuan Soarez adalah temanku selama bertahun-tahun.
Do you remember Mr. Saito?	Apakah Anda ingat Tn. Saito?
For the love of God!	Demi Allah!
Tom was elated.	Tom merasa gembira.
Tom blacked out.	Tom pingsan.
Please, go ahead.	Silahkan pergi duluan.
I want him in my office.	Saya ingin dia ada di kantorku.
I'm sorry, I can't put up with you.	Maaf, aku tidak bisa tahan denganmu.
There are many, many planets in the Milky Way which are just as big as Jupiter.	Banyak sekali planet sebesar Jupiter di Bima Sakti.
This morning, my friends ate the fruits that my little sister had bought.	Pagi ini, temanku memakan buah yang dibeli adikku.
Don't bother me.	Jangan ganggu aku.
I wholeheartedly agree.	Saya sepenuhnya setuju.
This is the last straw.	Ini yang terakhir.
Tom was crying.	Tom menangis.
This food is raw.	Makanan ini mentah.
My mother has cooked ten eggs.	Ibuku telah merebus sepuluh butir telur.
The meeting was almost over.	Rapatnya sudah hampir selesai.
I came yesterday.	Aku datang kemarin.
What is your name, sir?	Siapa nama anda, pak ?
The horse that won the race was owned by Mr. Johnson.	Kuda yang memenangkan balapan itu adalah milik tuan Johnson.
Things seem to be going hot and heavy between Tom and Mary.	Situasinya menjadi sedikit runyam antara Tom dan Mary.
I got an ocarina from my daughter on Father's Day. Frankly, though, I don't need it. I wonder where she could have come up with such a present.	Aku mendapat okarina dari anak perempuanku di hari Ayah. Sebetulnya aku tidak membutuhkannya. Aku heran dari mana ia mendapat ide seperti itu.
I think it's dangerous for children to play in the pond.	Kurasa berbahaya bagi anak-anak bermain di kolam.
Who told you that I was sick?	Siapa yang memberitahumu kalau aku sakit?
Tom came here alone.	Tom datang kemari sendirian.
How's your brother?	Bagaimana keadaan saudaramu?
Are you joking?	Apa kau bercanda?
I feel tired.	Aku merasa capek.
Eat slowly.	Makan pelan-pelan.
This is a true story.	Ini cerita yang sebenarnya.
Don't just eat fish. Eat meat, too.	Jangan hanya makan ikan, makan daging juga.
He can't be hungry. He's just had lunch.	Tidak mungkin dia lapar. Dia baru saja makan siang.
Hi, I have an appointment with the general manager. This is my interview notice.	Hai, saya punya janji dengan manajer umum, ini surat pemberitahuan wawancaranya.
Speaking without thinking is like shooting without looking.	Berbicara tanpa berpikir seperti menembak tanpa melihat.
I've read both books.	Aku sudah membaca kedua buku itu.
I love Natasha.	Saya cinta Natasha.
He is proficient in literature.	Dia mahir dalam sastra.
I need to learn Japanese.	Saya perlu belajar bahasa Jepang.
What does it cost?	Berapa harganya?
Have you already eaten rice?	Kamu sudah makan nasi?
Do you want to pay with a credit card?	Apakah Anda ingin membayar dengan kartu kredit?
He seems very happy.	Dia nampaknya amat bahagia.
I like running when it rains.	Saya suka berlari waktu hujan.
You may stay here if you like, as long as you keep quiet.	Kamu bisa di sini terus, asalkan kamu tetap diam.
I have tried everything but failed again.	Saya telah mencoba semuanya namun gagal lagi.
I'm a little touched.	Saya sedikit tersentuh.
That will be funny.	Itu akan jadi menggelikan.
I'd like to go, too.	Aku ingin ikut pergi juga.
Relax!	Santai!
He is a person that knows many things.	Dia orang yang tahu banyak hal.
I must learn seriously.	Saya harus belajar dengan serius.
He gathered the courage to decline the offer.	Dia mengumpulkan keberanian untuk menolak tawaran itu.
I've got to go to the men's room.	Aku harus pergi ke kamar kecil.
Tom doesn't know the difference between a fable and a fairytale.	Tom tidak tahu perbedaan fabel dan dongeng.
Mr. Tanaka makes a living by running a small stationery shop near the station.	Pak Tanaka mencari nafkah dengan membuka toko alat tulis di dekat stasiun.
Where did they go?	Ke mana mereka pergi?
I've done nothing wrong.	Aku tidak melakukan kesalahan apapun.
I kid you not.	Aku tidak bercanda.
France is in Western Europe.	Perancis ada di Eropa Barat.
Tom is taller than me.	Tom lebih tinggi daripada aku.
He asked me point-blank to help him.	Dia secara langsung memintaku untuk membantunya.
This house is full of spider webs.	Rumah ini penuh dengan sarang laba-laba.
I have a white cat.	Saya mempunyai kucing putih.
Let me explain.	Izinkan saya menerangkan.
Have you ever been to London?	Kau pernah pergi ke London?
How much does he earn in a month?	Berapa banyak yang dia peroleh per bulan?
You need it.	Anda membutuhkannya.
Things have changed.	Sesuatu telah berubah.
Why didn't she come?	Kenapa dia tidak datang?
Our team lost, 2-0.	Tim kita kalah, 2-0.
Tom looked puzzled.	Tom terlihat kebingungan.
Liar!	Pembohong!
No offence!	Jangan tersinggung!
I'm starting to lose my patience with you.	Saya mulai kehilangan kesabaran terhadap anda.
Timing is very important.	Pemilihan waktu itu sangat penting.
Do you get it?	Apa kamu paham?
We don't know whether he can come or not.	Kami tidak tahu apakah dia bisa datang atau tidak.
Do you cry often?	Apakah kamu sering menangis?
I have a twin sister.	Aku punya saudara kembar adik perempuan.
I'm tracking a buck.	Saya sedang memburu seekor rusa jantan.
Only 514 people have been in space.	Hanya 514 orang yang pernah ke luar angkasa.
I study English and Japanese.	Saya belajar bahasa Inggris dan bahasa Jepang.
Have you got an English-Vietnamese dictionary?	Apa kamu sudah punya kamus bahasa Inggris-Vietnam?
I'm not bluffing.	Aku tidak sedang menggertakmu.
Are you joking or are you serious?	Kau main-main atau serius?
They are frantically backpedaling.	Mereka mengayuh mundur sepedanya dengan panik.
It was quite fantastic.	Itu cukup luar biasa.
We have to do something.	Kita harus melakukan sesuatu.
Tom is not in his bedroom.	Tom tidak sedang berada di kamarnya.
Tom is mentally disturbed.	Tom terganggu secara mental.
Anyone can make a mistake.	Setiap orang bisa berbuat salah.
A car is faster than a bicycle.	Mobil lebih cepat daripada sepeda.
I only told Tom what Mary told me.	Aku hanya memberi tahu Tom apa yang Mary beritahu padaku.
Why did you do it?	Kenapa kau melakukannya?
We have important work to do.	Kita memiliki pekerjaan penting yang harus dilakukan.
Sit down.	Duduklah.
Let's go back to the office.	Mari kembali ke kantor.
I love this song.	Aku sangat suka lagu ini.
I don't know what's going on around here, but I intend to find out.	Aku tidak tahu apa yang terjadi di sini, tapi aku berniat mencari tahu.
Have a seat.	Duduklah.
Can you see?	Kamu masih belum mengerti?
Are you certain about this?	Apa kau yakin dengan hal ini?
I am not guilty!	Aku tidak bersalah!
Let me try.	Mari saya coba!
I'm happy to be here.	Saya senang berada disini.
Tom likes making paper aeroplanes.	Tom suka membuat pesawat kertas.
Don't patronize me.	Jangan merendahkanku.
Don't patronise me.	Jangan merendahkanku.
Bear in the grave.	Beranak dalam kubur.
Bill runs faster than Bob.	Bill berlari lebih cepat daripada Bob.
I am very pleased to see you again.	Saya sungguh senang berjumpa denganmu lagi.
How old is she?	Berapa umurnya?
What is her age?	Berapa umurnya?
I've gotta go to the bathroom.	Aku harus ke kamar mandi.
It's difficult to speak with him.	Susah untuk berbicara dengannya.
You can call me Bob please.	Tolong panggil saya Bob.
I look forward to it.	Aku menantikannya.
I'm not sure.	Aku tidak yakin.
He tried to sleep on the floor.	Dia mencoba tidur di lantai.
Maybe you know where my books are?	Mungkin anda tau dimana buku-buku saya?
It's very cold in my house.	Di rumahku sangat dingin.
Stand up.	Berdirilah.
I like watermelon.	Aku suka semangka.
I am going.	Saya pergi.
If there's a cheap kanji dictionary in Japan, I will buy it.	Jika ada kamus kanji yang murah di Jepang, aku akan membelinya.
The African elephant has bigger ears than the Asian elephant.	Gajah Afrika memiliki telinga lebih besar dibandingkan gajah Asia.
You need to be more careful!	Kau perlu lebih berhati-hati lagi!
The students didn't remember what they read in that book.	Murid-murid tidak ingat apa yang telah mereka baca di buku tersebut.
Tom embraces Marie.	Tom memeluk Marie.
No kidding?	Beneran?
The eggs are still hot.	Telurnya masih panas.
Quiet!	Harap tenang!
I don't like chocolate.	Aku tidak suka cokelat.
My nail has broken.	Kukuku patah.
I have no more ideas.	Aku kehabisan ide.
Ann has lots of friends.	Ann punya banyak teman.
Again?	Lagi?
Tom got her pregnant.	Tom menghamilinya.
Are there still some empty seats?	Apa masih ada beberapa kursi kosong?
Are any seats still available?	Apa masih ada kursi yang tersedia?
No, my name is not Maria. My name is Teresa.	bukan, namaku bukan Maria, Namaku Teresa
Nobody's perfect.	Tidak ada orang yang sempurna.
We all have our faults.	Kita semua pasti punya kesalahan.
Interestingly, Hogwarts Quidditch players are allowed to use whatever broomsticks they like or their sponsors can afford, despite the fact that more expensive brooms often confer great (and arguably unfair) advantages in speed and manoeuvrability.	Menariknya, pemain Quidditch di Hogwarts boleh menggunakan sapu yang mana yang mereka suka atau sponsornya mampu, walaupun sapu lebih mahal sering memberi keuntungan besar (dan mungkin tidak adil) dengan kecepatan dan cara mengerakkan.
Excellent!	Luar biasa!
Are you for real?	Apa kau serius?
The puppy wants to sleep.	Anak anjing itu ingin tidur.
Is there place for this box in the van?	Apa ada tempat untuk meletakkan kotak ini di dalam mobil?
Chin up!	Semangat!
They won.	Mereka menang.
There was nothing I could do about it.	Tidak ada yang bisa kuperbuat akan hal itu.
Let's go to the beach!	Ayo kita pergi ke pantai!
I'm not angry at you, just very disappointed.	Aku tidak marah padamu. Aku hanya sangat kecewa.
The old man is angry and bitter.	Orang tua itu marah dan merasa sakit hati.
I'm colorblind. I can't tell red from green.	Saya buta warna, Saya tidak dapat membedakan merah dan hijau.
Which is the book we're talking about?	Buku mana yang sedang kita bicarakan?
Push!	Dorong!
I don't see what's wrong with that.	Aku tidak tahu apa yang salah dengan itu.
You'll be safe here.	Kamu akan aman di sini
Do you want to go with me or do you prefer I call you a taxi?	Kamu mau pergi denganku atau mau aku panggilkan taksi saja?
That's not my problem.	Itu bukan masalahku.
What's happened?	Apa yang terjadi?
I have found a dead cockroach in the meeting room.	Saya menemukan seekor kecoa mati di dalam ruang rapat.
He's still young.	Dia masih muda.
You should get to the station as close as possible to five o'clock.	Kamu harus datang ke stasiun sepagi mungkin pada jam lima.
